BOOKSELLER_CATEGORY,AUTHOR,TITLE,SERIES,VOLUME,PUB_DATE,EXTENT,CLOTH_ISBN,CLOTH_PRICE,PAPER_ISBN,PAPER_PRICE,ELECTRONIC_ISBN,ELECTRONIC_PRICE,URL
EDUC Primary and Secondary Education,Abrams S,Using Journals with Reluctant Writers,,,6/30/2000,160 pages,978-0-7619-7611-0,£51.00,978-0-7619-7612-7,£26.99,,,http://www.uk.sagepub.com/books/Book8770
POLI Politics and International Relations,Abramson P et al,Change and Continuity in the 2008 and 2010 Elections,,,5/15/2011,472 pages,,,978-1-60871-798-9,£45.99,,,http://www.uk.sagepub.com/books/Book236932
POLI Politics and International Relations,Abramson P et al,Change and Continuity in the 2012 Elections,,,5/27/2014,408 pages,,,978-1-4522-4045-9,£45.99,,,http://www.uk.sagepub.com/books/Book239335
POLI Politics and International Relations,Abramson P et al,Change and Continuity in the 2012 and 2014 Elections,,,6/18/2015,488 pages,,,978-1-5063-0587-5,£54.00,,,http://www.uk.sagepub.com/books/Book244683
POLI Politics and International Relations,Abu-Saad I & Champagne D,Contemporary Issues in Palestinian Arab Education,Topical Issues of American Behavioral Scientist,Volume 385,,124 pages,,,978-1-4129-4210-2,£20.99,,,http://www.uk.sagepub.com/books/Book230302
HEAL Health Studies and Nursing,Aceijas C,Assessing Evidence to improve Population Health and Wellbeing,Transforming Public Health Practice Series,,7/1/2011,168 pages,,,978-0-85725-389-7,£23.99,978-0-85725-391-0,£18.99,http://www.uk.sagepub.com/books/Book238633
ENVI Environmental Studies,Acharya K & Noronha F,The Green Pen,,,2/28/2010,312 pages,,,978-8-13-210301-1,£19.99,978-8-13-210496-4,£16.00,http://www.uk.sagepub.com/books/Book234899
POLI Politics and International Relations,Acharya P,"National Movement and Politics in Orissa, 1920-1929",SAGE Series in Modern Indian History,Volume 11,3/31/2008,324 pages,978-0-7619-3627-5,£42.00,,,978-8-13-210001-0,£34.00,http://www.uk.sagepub.com/books/Book232772
STAT Statistics and Mathematical Methods,Achen C,Interpreting and Using Regression,Quantitative Applications in the Social Sciences,Volume 29,11/24/1982,88 pages,,,978-0-8039-1915-0,£17.99,,,http://www.uk.sagepub.com/books/Book450
EDUC Primary and Secondary Education,Achilles C,"Let's Put Kids First, Finally",,,5/30/1999,216 pages,978-0-8039-6806-6,£54.00,978-0-8039-6807-3,£26.99,,,http://www.uk.sagepub.com/books/Book9398
EDUC Primary and Secondary Education,Ackerman R & Mackenzie S,Uncovering Teacher Leadership,,,3/25/2007,416 pages,978-1-4129-3939-3,£65.00,978-1-4129-3940-9,£37.99,,,http://www.uk.sagepub.com/books/Book228235
MANA Management and Organization Studies,Ackermann F & Eden C,Making Strategy: Second Edition,,,9/30/2011,376 pages,978-1-84920-119-3,£109.00,978-1-84920-120-9,£36.99,978-1-4462-5001-3,£29.99,http://www.uk.sagepub.com/books/Book234090
MANA Management and Organization Studies,Ackermann F et al,The Practice of Making Strategy,,,9/30/2004,264 pages,,,978-8-17-829455-1,,,,http://www.uk.sagepub.com/books/Book241338
SOCI Sociology and Cultural Studies,Ackland R,Web Social Science,,,6/17/2013,224 pages,978-1-84920-481-1,£86.00,978-1-84920-482-8,£27.99,978-1-4462-8155-0,£21.99,http://www.uk.sagepub.com/books/Book234439
MANA Management and Organization Studies,Ackroyd S & Thompson P,Organizational Misbehaviour,,,3/28/1999,192 pages,978-0-8039-8735-7,£60.00,978-0-8039-8736-4,£37.99,978-1-4462-6535-2,£29.99,http://www.uk.sagepub.com/books/Book203751
"SOCW Social Welfare, Family Studies & Gerontology",Acock A & Demo D,Family Diversity and Well-Being,SAGE Library of Social Research,Volume 195,8/23/1994,304 pages,978-0-8039-4266-0,£42.00,978-0-8039-4267-7,£54.00,,,http://www.uk.sagepub.com/books/Book4490
SOCT Social Theory,Adam B et al,The Risk Society and Beyond,,,5/28/2000,240 pages,978-0-7619-6468-1,£119.00,978-0-7619-6469-8,£33.99,978-1-84920-206-0,£26.99,http://www.uk.sagepub.com/books/Book205997
